trees,depth,min_samples_split,min_samples_leaf,variables,samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
100,None,2,4,0.4,0.4,292.093,105.464,53.187,83.84,67.849,36.568,44.031,43.46,42.784,47,81.6276,0.0788747000694275
10,10,4,4,0.4,0.4,290.661,106.272,55.36,87.756,75.085,38.688,49.129,47.755,45.168,51.334,84.7208,0.0106185102462769
10,30,4,4,0.4,0.4,290.338,106.865,54.424,83.944,67.579,40.211,47.006,46.322,47.622,51.891,83.6202,0.0102212643623352
10,50,4,4,0.4,0.4,284.461,104.462,54.261,86.529,73.799,40.361,47.441,48.883,45.128,51.671,83.6996,0.0103076839447021
10,None,4,4,0.4,0.4,289.139,105.019,57.12,84.549,67.875,40.371,48.321,48.549,45.358,51.313,83.7614,0.0106407380104065
30,10,4,4,0.4,0.4,290.305,106.777,53.432,83.193,69.223,38.271,45.025,42.753,43.058,48.274,82.0311,0.0252906370162964
30,30,4,4,0.4,0.4,286.936,104.406,53.469,84.234,67.011,36.802,44.682,43.401,43.322,47.928,81.2191,0.0255361938476562
30,50,4,4,0.4,0.4,291.047,105.29,53.392,84.567,63.601,36.331,45.062,46.094,43.808,48.093,81.7285,0.0256271696090698
30,None,4,4,0.4,0.4,289.743,104.314,54.162,85.638,68.656,38.094,45.386,44.703,41.804,49.752,82.2252,0.0255719542503357
50,10,4,4,0.4,0.4,288.191,105.391,53.02,84.871,66.716,37.77,44.065,43.937,42.569,47.105,81.3635,0.040796754360199
50,30,4,4,0.4,0.4,287.524,106.365,52.975,84.078,64.971,37.436,44.862,43.116,42.299,48.444,81.207,0.0407816767692566
50,50,4,4,0.4,0.4,288.819,105.994,53.395,86.178,64.452,38.116,44.359,43.79,42.628,48.081,81.5812,0.0405797290802002
50,None,4,4,0.4,0.4,287.243,106.771,53.273,82.873,66.52,36.854,43.827,43.208,42.993,47.888,81.145,0.0409944367408752
100,10,4,4,0.4,0.4,289.725,106.12,53.426,85.112,68.114,36.143,43.941,43.597,42.805,47.285,81.6268,0.0785673141479492
100,30,4,4,0.4,0.4,288.265,104.195,53.09,83.994,67.033,36.882,43.658,42.486,42.159,47.191,80.8953,0.0783918261528015
100,50,4,4,0.4,0.4,291.704,105.378,52.955,84.514,64.703,36.971,43.862,42.815,43.215,47.129,81.3246,0.0786193323135376
100,None,4,4,0.4,0.4,289.599,106.109,52.755,84.325,65.459,36.411,44.658,43.569,42.978,47.01,81.2873,0.0788831877708435
10,10,6,4,0.4,0.4,287.553,104.836,54.577,90.536,71.215,39.67,46.57,48.352,46.294,53.078,84.2681,0.0104078912734985
10,30,6,4,0.4,0.4,287.122,107.472,54.871,79.632,67.942,40.264,45.3,45.114,45.826,53.37,82.6913,0.0106467366218567
10,50,6,4,0.4,0.4,281.572,109.577,56.411,88.329,71.617,40.268,48.165,49.061,46.527,51.32,84.2847,0.010284628868103
10,None,6,4,0.4,0.4,288.171,106.974,54.961,86.201,69.672,39.519,47.713,50.589,44.386,53.382,84.1568,0.0103998517990112
30,10,6,4,0.4,0.4,290.819,104.507,53.812,82.981,65.193,38.067,44.36,44.076,45.143,49.133,81.8091,0.0259030270576477
30,30,6,4,0.4,0.4,288.883,106.773,53.661,81.565,67.315,37.585,45.633,44.778,43.771,49.555,81.9519,0.0260020518302917
30,50,6,4,0.4,0.4,290.9,105.68,53.427,85.003,68.014,38.79,44.103,44.313,42.42,48.138,82.0788,0.0257947492599487
30,None,6,4,0.4,0.4,286.186,106.69,54.405,84.627,70.728,37.096,44.885,45.143,43.875,48.697,82.2332,0.0260810828208923
50,10,6,4,0.4,0.4,288.487,105.994,52.914,86.491,67.191,38.261,44.355,44.23,43.027,47.175,81.8125,0.0412931609153748
